RADseq_Sample_ID,Lat_dd,Long_dd
1,37.91083333,122.4856944
2,37.91082778,122.4857111
3,37.91089444,122.4858056
4,37.91308056,122.4899333
5,37.91307778,122.4899639
6,37.91319167,122.4901694
7,37.91115278,122.4938583
8,37.91115278,122.493875
9,37.91099722,122.4941278
10,37.91571111,122.4977694
11,37.91573056,122.4978167
12,37.91593333,122.4973194
13,37.91461111,122.4958222
14,37.91461389,122.4958333
15,37.91458056,122.4960333
16,37.91466389,122.4959861
17,37.91466944,122.4959944
18,37.91486111,122.4962194
19,37.91082778,122.4945028
20,37.91083333,122.4945139
21,37.91107778,122.4937833
22,37.91198333,122.4878639
23,37.912,122.4878611
24,37.91183889,122.4875583
