population,plotID,moisture,pH,organic_matter,aluminum,Arsenic,Boron,Barium,Calcium,Cadmium,Cobalt,Chromium,Copper,Iron,Potassium,Magnesium,Manganese,Sodium,Nickel,Phosphorus,Lead,Sulfur,Selenium,Silicon,Strontium,Zinc,NH4-N,NO3_NO2,Ca_Mg_Ratio
WestwardRidge,1,7.0971,6.483,6.3448,4.8337,0.0253,0.4033,8.8085,244.8241,0.0118,0.3277,0.3814,0.1018,2.3196,158.5117,4431.0878,11.3588,56.6427,34.4355,1.8528,0.1408,5.0652,0.0406,70.1544,3.0012,0.3118,12.1163,3.1561,0.0553
WestwardRidge,2,5.5471,6.413,3.5793,7.7707,0.0358,0.1484,4.0912,200.6727,0.0103,0.1624,0.3157,0.082,2.9019,121.7602,3195.9784,5.2497,52.3593,32.9784,1.1136,0.1715,4.0817,0.0324,56.7082,2.5063,0.2416,6.8053,2.4702,0.0628
WestwardRidge,3,7.4524,6.578,6.726,4.5771,0.0197,0.339,6.3796,281.5682,0.0078,0.4143,0.4049,0.0654,2.6847,153.6386,4731.792,14.8589,57.4464,49.2064,1.8251,0.0942,5.0865,0.0358,73.088,3.3265,0.2708,12.6005,4.6363,0.0595
WestwardRidge,4,5.1373,6.55,4.274,7.8383,0.0335,0.1872,4.2794,288.772,0.0124,0.4032,0.3162,0.1969,2.2081,150.5798,3453.5798,13.5887,44.9269,40.3748,1.5678,0.1291,3.9492,0.0366,56.3777,2.877,0.3537,8.525,1.7011,0.0836
Calamagrostis,6,6.5251,6.467,6.0913,4.5051,0.0182,0.2558,4.1857,328.4699,0.0082,0.3495,0.3104,0.207,1.9769,198.2947,3800.5136,13.2799,53.6931,46.5256,1.9467,0.1351,4.1221,0.0374,77.4947,4.1098,0.349,9.1468,1.9012,0.0864
Calamagrostis,7,6.5946,6.514,5.8464,4.5553,0.0254,0.2652,3.7543,341.6689,0.0066,0.2736,0.3489,0.0445,1.9564,193.7327,3874.8195,9.8157,49.2949,48.4824,1.8732,0.0808,3.7941,0.037,82.3583,4.2645,0.1944,11.3688,0.9422,0.0882
Calamagrostis,8,5.9537,6.59,5.2272,7.9479,0.0235,0.2063,2.5439,320.2344,0.0065,0.297,0.398,0.0217,2.6595,184.3134,3359.6642,9.3208,49.0637,57.5646,1.5246,0.0628,3.7142,0.0395,83.2536,4.1876,0.178,7.3861,1.149,0.0953
Taylor,12,5.2948,6.244,4.9746,9.532,0.0321,0.1806,5.9122,350.7312,0.0345,0.5912,0.3842,0.2179,3.337,162.8657,3070.3926,16.8379,54.4757,67.7775,1.9922,0.1875,5.5234,0.0424,61.4359,4.1227,0.6371,9.889,4.1951,0.1142
Taylor,13,4.1396,6.27,5.427,12.6928,0.0388,0.1617,6.2329,447.2473,0.0316,0.583,0.3984,0.0704,2.6248,265.9792,2408.584,15.1133,45.6634,33.547,2.989,0.205,6.0238,0.0449,58.4301,5.0235,0.4936,8.5819,1.8811,0.1857
FernGulch,14,6.0262,6.499,5.6563,8.8869,0.0223,0.1937,4.13,326.3456,0.0237,0.3931,0.4604,0.11,2.9098,232.1378,3515.8806,13.7956,53.389,42.5801,1.9898,0.1888,4.5315,0.0394,70.3883,3.5501,0.4531,8.5648,2.173,0.0928
FernGulch,15,6.3215,6.392,6.0818,10.1611,0.0192,0.2125,4.2157,550.8871,0.0235,0.5188,0.57,0.1049,3.6781,292.3502,3685.0897,15.779,65.3823,49.9788,2.2695,0.2934,5.6405,0.046,75.6696,6.6985,0.4535,10.2676,4.3942,0.1495
SanQuentin,16,6.7427,6.463,5.493,7.1144,0.0286,0.1978,5.2271,276.7393,0.0124,0.3431,0.3386,0.1282,3.1826,179.9159,3980.0206,13.4526,56.91,58.5615,1.3882,0.0735,4.3797,0.0428,76.1619,3.836,0.2346,9.7611,2.9769,0.0695
